,datetime,Open,High,Low,Close,Volume,sp
87,1531972800,7325.004,7353.6,7319.8,7327.0,475.9023,3489868.5
88,1531976400,7327.0,7349.2,7317.5,7318.4,273.83838,2007673.1
89,1531980000,7318.5,7339.8,7315.0,7336.9,349.3553,2560884.0
90,1531983600,7336.9,7367.5,7336.9,7342.0,652.9737,4803338.5
91,1531987200,7342.0,7347.0,7307.4,7311.3984,368.89752,2703955.2
92,1531990800,7311.0,7334.4,7300.0,7324.6,350.9315,2568427.8
93,1531994400,7324.4,7430.0,7324.3,7410.7,1117.1484,8246873.5
94,1531998000,7412.2,7426.2,7370.0,7370.736,512.69543,3794307.2
95,1532001600,7370.7,7441.8,7360.1,7416.9,393.0098,2909465.2
96,1532005200,7416.7,7450.0,7409.2,7422.8,821.4246,6102108.0
97,1532008800,7422.8,7515.0,7417.2,7481.9,1752.615,13098408.0
98,1532012400,7481.7,7484.7,7433.1,7460.0,1715.3577,12787326.0
99,1532016000,7460.0,7483.8,7369.9,7396.7,1950.4971,14474504.0
100,1532019600,7396.7,7421.1,7353.9,7377.3,1319.404,9750579.0
101,1532023200,7376.0,7433.0,7375.0,7427.0,1441.791,10681774.0
102,1532026800,7427.0,7452.0,7410.6,7419.9,605.3367,4497705.5
103,1532030400,7420.0,7492.5,7419.9,7455.0,1099.5911,8208364.5
104,1532034000,7454.9,7484.0,7417.2,7422.7,524.3709,3907929.5
105,1532037600,7422.7,7466.4,7422.7,7435.5,289.23575,2152457.2
106,1532041200,7435.6,7560.0,7435.5,7484.5,2145.8135,16089373.0
107,1532044800,7485.4,7501.0,7430.0,7473.5,968.6223,7229000.5
108,1532048400,7473.5,7474.6,7369.874,7410.4,1508.6017,11169473.0
109,1532052000,7408.8,7463.3,7387.9,7459.6,579.33563,4309163.5
110,1532055600,7459.6,7468.9,7435.3,7457.7,311.54446,2322907.2
111,1532059200,7457.7,7467.3,7434.8,7461.2,345.9243,2577048.2
112,1532062800,7461.2,7461.2,7440.1,7449.9,269.96423,2010598.5
113,1532066400,7449.5,7454.2,7411.0,7415.0,503.73117,3745118.2
114,1532070000,7414.9,7433.6,7341.3,7374.4,2013.6135,14879263.0
115,1532073600,7374.4,7447.4,7356.1,7441.1,772.5349,5717724.0
116,1532077200,7441.5,7501.8,7440.0,7472.0,1326.716,9908542.0
117,1532080800,7470.6,7486.2,7440.0,7445.9966,424.6725,3169067.5
118,1532084400,7448.0,7477.9,7448.0,7464.9,373.2402,2785246.8
119,1532088000,7465.0,7518.2,7464.9,7497.3,964.5852,7223488.0
120,1532091600,7497.3,7519.9,7443.0,7461.2,1064.2236,7957030.5
121,1532095200,7461.259,7477.9,7447.3,7474.0,320.811,2395403.0
